"code","name_it","name_en","parent_code","level","classification_system"
"U","ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO E PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE","","1","NACE"
"V","ATTIVITÀ DI ORGANIZZAZIONI E ORGANISMI EXTRATERRITORIALI","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES","","1","NACE"
"01","Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities","A","2","NACE"
"02","Silvicoltura e utilizzo di aree forestali","Forestry and logging","A","2","NACE"
"03","Pesca e acquacoltura","Fishing and aquaculture","A","2","NACE"
"05","Estrazione di carbone e lignite","Mining of coal and lignite","B","2","NACE"
"06","Estrazione di petrolio greggio e gas naturale","Extraction of crude petroleum and natural gas","B","2","NACE"
"07","Estrazione di minerali metalliferi","Mining of metal ores","B","2","NACE"
"08","Altre attività estrattive","Other mining and quarrying","B","2","NACE"
"09","Attività dei servizi di supporto all'estrazione","Mining support service activities","B","2","NACE"
"10","Produzione di prodotti alimentari","Manufacture of food products","C","2","NACE"
"11","Produzione di bevande","Manufacture of beverages","C","2","NACE"
"12","Produzione di prodotti del tabacco","Manufacture of tobacco products","C","2","NACE"
"13","Fabbricazione di tessili","Manufacture of textiles","C","2","NACE"
"14","Fabbricazione di articoli di abbigliamento","Manufacture of wearing apparel","C","2","NACE"
"15","Fabbricazione di pelli e cuoi e articoli in pelle e simili di altri materiali","Manufacture of leather and related products of other materials","C","2","NACE"
"16","Produzione e lavorazione del legno e dei prodotti a base di legno e sughero, esclusi i mobili; fabbricazione di articoli in paglia e materiale da intreccio","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","C","2","NACE"
